1,161,85,15,122,25,229,185,22,93,224
2,113,32,79,33,35,150,169,771,403,34
3,113,79,150,403,24,18,16,169,7,409
4,1405,828,291,279,1832,1384,1183,288,1184,2539
5,32,33,150,35,34,403,18,24,113,16
6,7,2,122,113,83,123,15,631,125,158
7,11866,1121,5964,7566,9902,1518,8917,20044,8611,9905
8,2,93,123,25,122,223,826,85,631,185
9,86,93,636,158,1061,83,190,148,631,1015
10,254,201,234,781,318,326,2188,314,136,315
11,7,2,113,123,93,631,86,826,122,84
12,32,33,35,403,24,409,16,267,169,79
13,7,2,113,85,83,15,116,86,123,125
14,2,93,85,123,15,83,158,260,125,116
15,32,33,150,35,34,403,79,18,24,16
16,148,826,123,93,86,794,2,88,121,636
17,127,158,1021,630,1517,685,446,260,921,530
18,7,161,85,122,116,15,2,437,295,296
19,33,150,35,18,403,24,409,16,169,170
20,76,1618,62,1767,1765,1617,39,238,5437,828
21,148,826,123,86,794,2,223,88,1152,9
22,2188,201,4686,7017,234,781,132,4859,353,10112
23,946,1509,1503,564,1504,1508,1287,561,14045,2576
24,2188,911,781,4686,14724,318,1796,2153,328,6382
25,382,6630,7375,2820,1026,2821,2829,2828,9442,4716
26,35,403,24,267,409,16,80,79,2237,28
27,32,33,35,150,34,24,169,409,267,170
28,7,2,113,122,93,123,83,148,631,32
29,33,150,35,34,403,113,18,24,409,267
30,148,145,7,826,123,2,86,89,93,91
31,2979,237,1668,5465,2207,424,1115,264,1554,684
32,7,2,113,85,93,15,161,83,116,123
33,556,5970,12668,10255,6063,6065,6062,6064,6061,8907
34,122,85,2,15,260,116,161,296,158,86
35,279,73,2026,1383,1394,7810,1472,779,1477,6572
36,32,113,33,79,150,403,34,24,169,18
37,2,122,85,113,15,93,116,83,161,260
38,125,211,1061,1021,158,1517,1464,128,165,190
39,8481,30746,30751,30766,30789,30749,30767,30788,30793,30771
40,150,34,18,24,79,16,169,267,170,113
41,2,113,85,93,83,15,116,86,123,260
42,161,948,229,224,85,7,93,1732,15,5825
43,148,93,631,826,1061,658,121,1015,638,674
44,2826,1642,1661,161,793,2349,948,2124,10995,229
45,424,648,529,2979,454,199,237,428,684,1668
46,158,83,1021,123,125,515,118,589,85,86
47,2,122,85,161,15,185,260,86,25,116
48,289,279,2839,2840,779,2013,1773,7254,2026,73
49,4,437,948,1157,85,229,52,918,191,295
50,33,35,150,18,403,34,24,267,409,16
51,2,85,83,15,123,128,158,116,161,113
52,234,2188,315,781,4686,326,353,132,911,1796
53,18,403,267,409,170,169,79,2237,28,416
54,73,279,69,8735,75,291,1472,1383,1477,5763
55,148,93,2,86,88,145,223,631,87,25
56,976,993,1235,560,826,4614,3975,2512,2,93
57,7,1004,1002,161,2,122,7252,85,32,113
58,33,35,24,79,403,18,16,80,409,267
59,87,148,826,2,123,91,631,658,415,674
60,7,2,113,93,123,122,148,86,631,145
61,7,122,2,85,15,116,93,161,113,83
62,7,381,161,2820,6630,2,382,370,372,385
63,7,122,118,165,530,154,85,921,125,116
64,79,113,150,35,24,34,403,16,169,18
65,73,6674,39,76,828,1618,1767,4745,1405,4768
66,113,79,17,33,122,34,35,150,403,24
67,79,34,403,24,18,169,16,170,409,267
68,7,79,33,35,150,34,403,24,18,169
69,33,150,34,403,18,24,16,169,409,267
70,32,33,150,35,18,403,24,409,267,16
